最高法院
全辯論意旨
闡明權
釋明
經驗法則
論理法則
再開辯論
更正
筆錄
錄音
合意
當事人合意
合意停止
當然停止
裁定停止
停止訴訟程序
合併裁判
合併審理
合併辯論
卷證傳遞
職權調查證據
審前鑑定
直接證據
間接證據
證據保全
強制處分
急迫性
扣押
閱卷
訴訟文書之閱覽
裁定
裁定確定證明書
抗告程序
抗告
準抗告
再抗告
異議
提出異議
聲明異議
異議人
訴之追加
訴之撤回
訴之變更
反訴
自認
捨棄
認諾
撤回
和解
和解程序
調解程序
移付調解
訴訟上和解
協議
調解筆錄
和解筆錄
本案確定裁定
處分
保全處分
執行名義
不停止執行
駁回
不付審理
判決
確定裁判
確定證明書
裁判書
判決主文
判決更正
判決理由
判決違背法令
情況判決
管轄錯誤判決
不受理判決
免訴判決
一部判決
終局判決
一造缺席判決
羈束力
既判力
反射效
罰金
罰鍰
強制出境
沒入
沒收
交付保護管束
向被害人道歉
立悔過書
定期或分期給付
間接強制方法
損害賠償
回復原狀
自動履行
情事變更
審級
審級利益
不利益變更禁止原則
上訴審程序
上訴
附帶上訴
捨棄上訴權
上訴期間
上訴書狀
上訴聲明
上訴理由
上訴不合法
上訴無理由
上訴駁回
違背法令
適用法規顯有錯誤
撤銷原判決
廢棄發回
再審
再審程序
提審事件
提審法
提審
私文書
委任書
撤銷
溯及既往
終止
廢止
認可
民事訴訟
民事審判權
訴之利益
訴之主觀合併
訴之客觀合併
選定當事人
主參加訴訟
已起訴之證明
爭點整理
爭點之協議簡化
舉證責任
攻擊防禦方法
隨時提出主義
責問權
分別辯論
限制辯論
更新辯論
裁判上自認
擬制自認
中間判決
中間確認之訴
抵銷抗辯
不免責債權
假執行
爭點效
飛躍上訴
保全程序
假扣押
假處分
公示催告
定暫時狀態之假處分
告發
告訴
自訴
擔當自訴
自首
通緝
逮捕
嫌疑人
搜索
移送
羈押
具保
責付
不起訴
緩起訴
交付審判
再議
發交
發回
移審
簡式審判程序
簡易程序
協商程序
案件流程管理制度
強制辯護案件
義務辯護人
告知義務
緘默權
傳聞法則
對質
鑑定留置
鑑定許可書
鑑定報告
驗傷診斷書
強暴
陪同人詢問通知書
通訊監察書
調取票
行為不罰
無罪推定
量刑
最輕本刑
累犯
無罪判決
緩刑
無期徒刑
職權上訴
從刑
褫奪公權
義務勞務
歸屬國庫
監所
聲請覆審
檢察事務官
檢察總長
行政法
行政程序法
訴願法
行政訴訟法
行政罰法
行政執行法
國家賠償法
法規命令
行政規則
行政處分
行政契約
行政指導
行政救濟
訴願決定
原處分
行政爭訟
確認訴訟
課予義務訴訟
續行訴訟
交通裁決事件訴訟程序
道路交通管理處罰條例
交通違規
裁決所
告誡
警告
記點
講習
復查決定
收容聲請事件
入出國及移民法
臺灣地區與大陸地區人民關係條例
香港澳門關係條例
就業服務法
工作證
非法容留
收容
停止收容
續予收容
延長收容
收容異議
收容替代處分
暫予收容處分
強制驅逐出國
囑託調查
許可
親屬關係
稅捐稽徵法
所得稅法
加值型及非加值型營業稅法
政府資訊公開法
智慧財產案件審理法
經濟部智慧財產局
經濟部訴願審議委員會
商標法
證明標章
團體標章
團體商標
互惠原則
識別性
優先權
著名商標
商標減損
混淆誤認之虞
核准審定
核駁審定
延展註冊
商標異議
商標評定
商標廢止
專利法
發明專利
申請專利範圍
新型專利
設計專利
營業秘密法
營業秘密
秘密保持命令
著作權法
公開傳輸
散布
防盜拷措施
著作人格權
著作財產權
專屬授權
製版權
著作權集體管理團體
著作權審議及調解委員會
光碟管理條例
預錄式光碟
空白光碟
母版
來源識別碼
積體電路電路布局保護法
植物品種及種苗法
海關緝私條例
公平交易法
公平交易委員會
少年
少年事件
少年刑事案件
少年保護事件
保護法庭
公設輔佐人
最近親屬
現在保護少年之人
受保護處分人
非行
有犯罪未遂而為法所不罰之行為
調查報告
處遇建議
宣示筆錄
輔導
輔導紀錄
少年觀護所
少年輔育院
矯正學校
同行
協尋
留置觀察
勸導書
訓誡
假日生活輔導
勞動服務
交付安置
感化教育
交付其法定代理人嚴加管教
令入處所治療
性別教育輔導
對被害人之損害負賠償責任
家事事件法
家事事件
婚姻事件
親子關係事件
扶養事件
統合處理原則
健全社會共同生活
保障性別地位平等
駐法院家事服務中心
駐法院家庭暴力事件服務處
強制調解
確認婚姻無效
婚姻關係存在
確認婚姻關係不存在
夫妻同居
指定夫妻住所
報告夫妻財產狀況
給付家庭生活費用
強制金
離婚
分配夫妻剩餘財產
扶養費
贍養費
確認親子關係存在
確認親子關係不存在
否認子女
血緣關係
受檢驗人
認領子女
認可收養
確認收養關係不存在
確認收養關係存在
收養觀察期
養父母
養子女
養父
養母
撤銷收養
終止收養
撤銷終止收養
未成年人
未成年人之最佳利益
為未成年子女選任特別代理人
未成年人監護
選任未成年人之監護人
社會工作人員
訪視報告
徵詢意見
陪同出庭
陳述意見
心理專家
心理諮詢
交付子女
直接強制方法
變更子女姓氏
酌定親權人
停止親權
親子關係輔導
親職教育
親屬會議
監護宣告
輔助宣告
受監護宣告人
受輔助宣告人
選任監護人
會同開具財產清冊之人
變更監護宣告
撤銷監護宣告
監護人報告財產狀況
監護人報酬
受監理人
義務服務
倫理規範
酬金
國庫墊付
個別會談、雙方會談
探視方案
監督會面交往
適當之暫時性舉措
履行勸告
暫時處分
交付必要物品及證件
給付必要費用
禁止出境
禁止處分財產
禁止離開特定處所
家事調查官
家事調解委員
家庭暴力
家庭暴力罪
核發保護令
民事保護令
緊急保護令
通常保護令
暫時保護令
保護安置事件
被安置人
停止緊急安置
強制住院
嚴重病人
繼續安置
宣告死亡
撤銷死亡宣告
被繼承人
確認遺囑真偽
指定遺囑執行人
分割遺產
遺贈
特留分
回復繼承權
拋棄繼承
法律扶助
審前調解
變更輔助宣告
撤銷
變更
改定親權人
